Timestamp/s  Throughput  Mean Latency/ms
1540072402   3388        148       
1540072403   3400        147       
1540072404   3428        149       
1540072405   3399        150       
1540072406   3371        151       
1540072407   3122        164       
1540072408   3401        154       
1540072409   3363        151       
1540072410   3379        152       
1540072411   3372        148       
1540072412   3389        151       
1540072413   3410        151       
1540072414   3164        160       
1540072415   3369        151       
1540072416   3369        152       
1540072417   3447        148       
1540072418   3290        156       
1540072419   3179        161       
1540072420   3334        155       
1540072421   2543        201       
1540072422   2631        195       
1540072423   2632        189       
1540072424   3311        155       
1540072425   2247        227       
1540072426   3238        156       
1540072427   2829        181       
1540072428   3080        170       
1540072429   2676        188       
1540072430   3197        158       
1540072431   3200        159       
1540072432   3448        149       
1540072433   3481        146       
1540072434   3333        150       
1540072435   3538        148       
1540072436   3537        143       
1540072437   3569        143       
1540072438   3473        148       
1540072439   3433        147       
1540072440   3380        159       
1540072441   3462        146       
1540072442   3447        151       
1540072443   2776        181       
1540072444   3271        155       
1540072445   3415        150       
1540072446   3441        150       
1540072447   3241        156       
1540072448   3271        153       
1540072449   3321        151       
1540072450   3352        150       
1540072451   3341        151       
1540072452   3390        150       
1540072453   3458        146       
1540072454   3501        147       
1540072455   3399        152       
1540072456   3415        149       
1540072457   3428        149       
1540072458   3435        151       
1540072459   3435        150       
1540072460   3445        146       
1540072461   3453        146       
1540072462   3449        147       
1540072463   3460        149       
1540072464   3460        145       
1540072465   3489        146       
1540072466   3494        146       
1540072467   3493        146       
1540072468   3521        146       
1540072469   3453        148       
1540072470   3500        145       
1540072471   3500        148       
1540072472   3510        145       
1540072473   3480        148       
1540072474   3419        149       
1540072475   3199        157       
1540072476   3404        151       
1540072477   3446        147       
1540072478   3527        145       
1540072479   3487        149       
1540072480   3453        145       
1540072481   3438        147       
1540072482   3456        148       
1540072483   3473        147       
1540072484   3410        149       
1540072485   3478        147       
1540072486   3491        146       
1540072487   3461        149       
1540072488   3393        149       
1540072489   3518        148       
1540072490   3468        147       
1540072491   3476        145       
1540072492   3552        144       
1540072493   3519        144       
1540072494   3554        144       
1540072495   3538        143       
1540072496   3418        151       
1540072497   3481        146       
1540072498   3537        144       
1540072499   3467        149       
1540072500   3445        147       
1540072501   3387        151       
1540072502   3452        145       
1540072503   3463        148       
1540072504   3443        151       
1540072505   3385        150       
1540072506   3424        152       
1540072507   3406        144       
1540072508   3535        146       
1540072509   3473        149       
1540072510   3492        147       
1540072511   3455        146       
1540072512   3500        150       
1540072513   3440        147       
1540072514   3490        146       
1540072515   3468        145       
1540072516   3334        152       
1540072517   3432        149       
1540072518   3390        149       
1540072519   3374        152       
1540072520   3423        147       
1540072521   3405        152       
1540072522   3341        157       
1540072523   3138        163       
1540072524   3200        157       
1540072525   3307        151       
1540072526   3348        166       
1540072527   3166        169       
1540072528   3080        162       
1540072529   3056        160       
1540072530   3157        154       
1540072531   3327        149       
1540072532   3429        149       
1540072533   3413        149       
1540072534   3490        145       
1540072535   3509        145       
1540072536   3586        143       
1540072537   3401        148       
1540072538   3532        144       
1540072539   3535        145       
1540072540   3556        146       
1540072541   3602        142       
1540072542   3473        145       
1540072543   3517        145       
1540072544   3547        143       
1540072545   3464        146       
1540072546   3514        145       
1540072547   3509        146       
1540072548   3551        144       
1540072549   3574        142       
1540072550   3542        143       
1540072551   3618        141       
1540072552   3565        143       
1540072553   3591        143       
1540072554   3555        144       
1540072555   3550        143       
1540072556   3602        142       
1540072557   3472        147       
1540072558   3629        143       
1540072559   3450        146       
1540072560   3434        152       
1540072561   3341        151       
1540072562   3464        149       
1540072563   3399        150       
1540072564   3357        153       
1540072565   3305        156       
1540072566   3300        154       
1540072567   3206        159       
1540072568   2694        188       
1540072569   3147        163       
1540072570   3277        153       
1540072571   3357        150       
1540072572   3519        146       
1540072573   3546        145       
1540072574   3531        145       
1540072575   3595        145       
1540072576   3531        143       
1540072577   3559        142       
1540072578   3499        144       
1540072579   4365        335       
1540072580   5009        299       
1540072581   5113        313       
1540072582   4942        322       
1540072583   5019        310       
1540072584   5004        305       
1540072585   5040        300       
1540072586   5165        282       
1540072587   5207        291       
1540072588   5292        287       
1540072589   5334        285       
1540072590   5359        280       
1540072591   5452        277       
1540072592   5535        275       
1540072593   5609        275       
1540072594   5452        276       
1540072595   5579        271       
1540072596   5643        265       
1540072597   5764        265       
1540072598   5357        285       
1540072599   5625        264       
1540072600   5688        267       
1540072601   5667        263       
1540072602   5685        262       
1540072603   5807        257       
1540072604   5677        265       
1540072605   5618        261       
1540072606   5578        259       
1540072607   5677        259       
1540072608   5729        256       
1540072609   5820        250       
1540072610   5808        248       
1540072611   5785        244       
1540072612   5766        246       
1540072613   5907        238       
1540072614   5785        242       
1540072615   5767        239       
1540072616   5807        239       
1540072617   5905        226       
1540072618   5995        227       
1540072619   5329        244       
1540072620   5675        232       
1540072621   5684        231       
1540072622   5715        227       
1540072623   5834        222       
1540072624   5876        215       
1540072625   5827        222       
1540072626   5781        216       
1540072627   5648        218       
1540072628   5672        214       
1540072629   5549        217       
1540072630   5731        206       
1540072631   5808        203       
1540072632   5765        207       
1540072633   5808        199       
1540072634   5641        202       
1540072635   5787        195       
1540072636   5682        201       
1540072637   5727        192       
1540072638   5751        190       
1540072639   5241        207       
1540072640   5828        188       
1540072641   5783        187       
1540072642   5903        183       
1540072643   5924        181       
1540072644   5950        178       
1540072645   6022        175       
1540072646   6059        181       
1540072647   5998        175       
1540072648   6050        171       
1540072649   5991        170       
1540072650   5997        175       
1540072651   5998        172       
1540072652   6182        168       
1540072653   6059        173       
1540072654   5831        181       
1540072655   5652        172       
1540072656   6014        172       
1540072657   6070        170       
1540072658   5972        168       
1540072659   6051        174       
1540072660   5569        180       
1540072661   5997        176       
1540072662   5634        175       
1540072663   5904        174       
1540072664   5660        181       
1540072665   5808        172       
1540072666   6019        171       
1540072667   6091        167       
1540072668   5848        259       
1540072669   5088        212       
1540072670   5078        189       
1540072671   5187        192       
1540072672   5104        185       
1540072673   5176        180       
1540072674   5174        183       
1540072675   5169        224       
1540072676   5254        208       
1540072677   5145        174       
1540072678   5124        182       
1540072679   5416        170       
1540072680   5382        177       
1540072681   5870        167       
1540072682   6016        165       
1540072683   5935        172       
1540072684   6099        169       
1540072685   6014        169       
1540072686   6138        164       
1540072687   6227        164       
1540072688   6217        166       
1540072689   6190        168       
1540072690   6194        163       
1540072691   6192        161       
1540072692   6165        169       
1540072693   4663        216       
1540072694   5872        175       
1540072695   6052        168       
1540072696   6313        159       
1540072697   6370        162       
1540072698   6217        163       
1540072699   6247        171       
1540072700   5337        249       
1540072701   5087        171       
1540072702   5397        180       
1540072703   5465        175       
1540072704   5627        173       
1540072705   5609        183       
1540072706   5637        180       
1540072707   5810        171       
1540072708   5859        174       
1540072709   5903        173       
1540072710   6068        167       
1540072711   6181        163       
1540072712   6355        162       
1540072713   6478        156       
1540072714   6572        155       
1540072715   6632        154       
1540072716   6675        155       
1540072717   6660        150       
1540072718   6920        149       
1540072719   6704        152       
1540072720   6711        153       
1540072721   6189        163       
1540072722   6595        154       
1540072723   6761        151       
